phonome1,phonome2,distance
b,b,60.81519678391992
b,by,74.82786421009344
b,ch,79.2792740809631
b,d,65.87795326516634
b,dy,76.5185588834622
b,f,73.84575952163591
b,g,65.97977651976602
b,gy,75.2775697842905
b,h,74.91102317730413
b,hy,77.13329724492557
b,j,74.26725222642312
b,k,72.0701725839861
b,ky,78.85358226381362
b,m,68.66761980889032
b,my,78.53555568693356
b,n,68.83578984001187
b,ny,78.35821919605422
b,p,69.19040794686474
b,py,83.54435109012171
b,r,67.58107011161785
b,ry,78.85735735542822
b,s,78.30854256258469
b,sh,82.63687197129245
b,sp,77.09164753690423
b,t,73.23637548903315
b,ts,78.84180561860931
b,w,82.19534254705853
b,y,78.58286894583945
b,z,70.50503466648117
by,b,71.21793895452907
by,by,58.90810693989945
by,ch,76.59277769363011
by,d,69.70580881291208
by,dy,85.51996967382843
by,f,77.34274725757162
by,g,68.39112802478881
by,gy,64.71272047051089
by,h,76.72768415301688
by,hy,73.99408134166934
by,j,68.42479833273607
by,k,75.7111163678763
by,ky,70.28022033934457
by,m,73.06220806750508
by,my,67.41779488749661
by,n,70.56429378847172
by,ny,68.58093375212766
by,p,73.99078952510494
by,py,68.36539453386112
by,r,66.78518093368389
by,ry,63.805149098928815
by,s,80.7458615321427
by,sh,81.74512986863238
by,sp,80.20527754557014
by,t,76.03598715307156
by,ts,79.49778587352479
by,w,84.69497096972118
by,y,67.37847572797621
by,z,70.69622774402701
ch,b,77.01082505082539
ch,by,89.02244306631455
ch,ch,59.90496832759185
ch,d,72.17335819252308
ch,dy,87.6647545811805
ch,f,73.24983334932047
ch,g,72.54765471755337
ch,gy,85.02396155278247
ch,h,70.46906428338751
ch,hy,75.73307070884645
ch,j,63.92460310165774
ch,k,66.60437868697242
ch,ky,65.36867653661959
ch,m,105.22947069662705
ch,my,103.1277487893971
ch,n,89.21805041906174
ch,ny,95.44564810389153
ch,p,70.01126937499897
ch,py,84.63995892970271
ch,r,72.91518045064454
ch,ry,94.79794424474083
ch,s,70.03209974745896
ch,sh,69.5004445432405
ch,sp,71.96943395346403
ch,t,67.46019538620261
ch,ts,63.40350421525793
ch,w,110.54046166110736
ch,y,94.49503788454206
ch,z,66.61374481680618
d,b,65.90676916457025
d,by,73.46936949799534
d,ch,74.86436771595824
d,d,61.48381017245226
d,dy,79.73865850347651
d,f,74.57486512153699
d,g,65.77346550820829
d,gy,72.85641254035713
d,h,75.7748178731898
d,hy,77.89703029476897
d,j,71.28865448788581
d,k,70.4706207354697
d,ky,74.66993071471244
d,m,75.22499273535739
d,my,79.79672109653782
d,n,70.85335064289649
d,ny,77.91624124339309
d,p,69.08341414287908
d,py,80.31171665243552
d,r,66.95632998996746
d,ry,77.10559711350898
d,s,77.89309540017389
d,sh,81.21827507757223
d,sp,76.14225825899011
d,t,68.89104133685913
d,ts,75.39871393089571
d,w,85.20657373112245
d,y,77.5464019606455
d,z,67.62618942570963
dy,b,75.11346495140707
dy,by,85.81225561463941
dy,ch,83.2259696546978
dy,d,75.19491279876468
dy,dy,57.343919542078915
dy,f,80.09744339793907
dy,g,71.92101387250283
dy,gy,82.27572310032294
dy,h,79.20384555098438
dy,hy,80.53018075387907
dy,j,76.76517068106689
dy,k,78.35328081454382
dy,ky,81.79903179425601
dy,m,80.1816813960251
dy,my,84.45880737360811
dy,n,72.3868007460354
dy,ny,82.82760042615958
dy,p,76.11585273788363
dy,py,87.13315215278207
dy,r,70.70088696434789
dy,ry,84.86308215425532
dy,s,82.03849746129602
dy,sh,85.8162951357536
dy,sp,79.57706637401013
dy,t,80.86585809821995
dy,ts,83.45938641767707
dy,w,91.69542291650667
dy,y,83.12384924013655
dy,z,75.83987181613422
f,b,71.09600494339688
f,by,84.17485895744719
f,ch,71.47363716823862
f,d,70.63978625318244
f,dy,86.33242989147857
f,f,59.85770335564845
f,g,69.15805822112209
f,gy,80.31372650960127
f,h,65.77387253675188
f,hy,72.3601274449889
f,j,73.02167487321341
f,k,65.24218672151066
f,ky,70.2148540643084
f,m,85.06373427490593
f,my,90.4919184526412
f,n,82.18209382642856
f,ny,90.77697964522174
f,p,67.18372194846584
f,py,81.48569932602084
f,r,70.28456814814514
f,ry,84.1537217724384
f,s,68.34577023174688
f,sh,73.33511835745246
f,sp,67.1449395719276
f,t,67.81048705325212
f,ts,68.24216355147384
f,w,88.89304275572538
f,y,84.54598224987946
f,z,69.84022461048306
g,b,69.1588962819827
g,by,77.65037126237888
g,ch,79.95940512971079
g,d,68.49136809345346
g,dy,84.04343376130456
g,f,74.72605187007514
g,g,62.64167403768903
g,gy,75.55602604492846
g,h,73.58768336604025
g,hy,77.0392292898681
g,j,76.40242366831393
g,k,71.72278770791002
g,ky,78.79468740779474
g,m,72.36118525656731
g,my,76.34102035551024
g,n,69.32891821453507
g,ny,77.24318024228255
g,p,71.44967531570121
g,py,83.02020294939854
g,r,68.6073973135061
g,ry,77.67397743818346
g,s,79.0903605922873
g,sh,84.0123426209998
g,sp,77.53710521105268
g,t,74.67279280986162
g,ts,79.77804092976432
g,w,77.00832412595288
g,y,77.39558054816966
g,z,71.55871008352166
gy,b,77.22666476890484
gy,by,68.4587762542896
gy,ch,80.95887621570778
gy,d,73.52058296376532
gy,dy,92.33254792273209
gy,f,81.34761728405705
gy,g,72.32720304767935
gy,gy,61.24338506123695
gy,h,79.3354695074472
gy,hy,70.347978895271
gy,j,71.7794574283832
gy,k,77.46635619509111
gy,ky,72.27837783855472
gy,m,78.42687910347827
gy,my,74.2684138145541
gy,n,73.8650405379292
gy,ny,74.76949032020981
gy,p,76.64694941204398
gy,py,71.60321026910951
gy,r,70.49337409099464
gy,ry,65.85233313994134
gy,s,81.54904439070116
gy,sh,82.17519332374356
gy,sp,83.07250517830325
gy,t,78.02970614456713
gy,ts,83.09441271920043
gy,w,87.37501894295582
gy,y,67.9433055170144
gy,z,73.18808171725505
h,b,73.58991910177738
h,by,85.15657276206157
h,ch,73.00027068346954
h,d,72.88719220099978
h,dy,86.27270098320155
h,f,67.59423444670475
h,g,69.94268690846049
h,gy,80.93212005801044
h,h,60.87290462731921
h,hy,71.82044085707338
h,j,73.96550416861966
h,k,67.25474540719252
h,ky,72.99176321535666
h,m,83.01211746438712
h,my,87.84589891322777
h,n,80.03424512135115
h,ny,86.59095124801404
h,p,70.55278601965253
h,py,83.81040419688478
h,r,71.01829337691665
h,ry,83.5636067337394
h,s,70.34724530718341
h,sh,74.45442097567566
h,sp,69.71494031261976
h,t,70.90049590359347
h,ts,72.11406691285318
h,w,86.24853099633798
h,y,84.54396595008707
h,z,71.9292682857459
hy,b,75.78456482056838
hy,by,78.11849782458273
hy,ch,72.27373081377193
hy,d,72.54991288170594
hy,dy,88.1634636574881
hy,f,73.42953817591778
hy,g,72.43231368213128
hy,gy,68.46164556560649
hy,h,69.8427168564597
hy,hy,60.444151149143295
hy,j,70.39947078278651
hy,k,72.51204513528101
hy,ky,67.53046693378506
hy,m,86.66342637216252
hy,my,86.79898765058033
hy,n,79.48703702753376
hy,ny,82.64218134219827
hy,p,72.47445951691087
hy,py,73.96348416888434
hy,r,70.06299858232431
hy,ry,77.53681555607916
hy,s,70.91580174518258
hy,sh,70.30987866498589
hy,sp,74.76860920798354
hy,t,71.58575674540504
hy,ts,73.39953205215674
hy,w,95.60256853607744
hy,y,76.72172650895952
hy,z,71.20028179403069
j,b,73.82026756435297
j,by,78.97646413986706
j,ch,66.57286871254625
j,d,71.01203407154091
j,dy,79.24640643859522
j,f,75.52760359162563
j,g,69.84262633601415
j,gy,75.3769839485348
j,h,70.70279885677401
j,hy,71.90782830644608
j,j,60.00285959821627
j,k,70.72613669763386
j,ky,69.17420090937755
j,m,91.11557773469258
j,my,90.61207949122513
j,n,79.15706313024577
j,ny,81.64357281846013
j,p,72.17759640680455
j,py,82.01858486371212
j,r,69.18139547953375
j,ry,83.34412451508621
j,s,70.60115915494596
j,sh,68.89313333885873
j,sp,74.85955939159648
j,t,71.56892341149366
j,ts,68.69912511491447
j,w,101.94239531327355
j,y,83.83132866553171
j,z,65.46139155307449
k,b,75.25118572198109
k,by,88.11108898200247
k,ch,73.2627583262149
k,d,72.19247969502264
k,dy,94.0520896877129
k,f,72.49632362444129
k,g,69.45663640294799
