phonome1,phonome2,distance
N,N,58.92780319249039
N,a,72.0577637867127
N,a:,77.08341195578102
N,e,70.93813971768866
N,e:,76.2153822989165
N,i,69.05788672374568
N,i:,75.84585858958144
N,o,69.58685662227421
N,o:,75.41489022251305
N,q,75.83587600813337
N,sp,77.69792943268143
N,u,65.06018989206761
N,u:,68.30911997961168
a,N,72.28204819719737
a,a,59.052147719943584
a,a:,62.689718463105145
a,e,73.64666077657608
a,e:,81.54435381359455
a,i,77.3039211263263
a,i:,87.84951531678904
a,o,66.26906548234398
a,o:,73.50557152045867
a,q,79.40649635900694
a,sp,74.11594672072115
a,u,69.08049930824245
a,u:,72.96654414827111
a:,N,69.30656098629554
a:,a,57.26539939284004
a:,a:,54.69389493863239
a:,e,71.7293702678718
a:,e:,77.03336004427103
a:,i,76.64685667209783
a:,i:,84.88688609936668
a:,o,62.38728108866055
a:,o:,66.62854355008294
a:,q,77.38778025600233
a:,sp,72.48424919625836
a:,u,67.48820320665412
a:,u:,70.17633133421545
e,N,69.41940774704176
e,a,70.47474872631514
e,a:,74.78566498741903
e,e,57.40446470307703
e,e:,60.14404518079817
e,i,64.12098897992296
e,i:,67.39973882950005
e,o,69.43954048771168
e,o:,74.92268569138069
e,q,78.33316362120296
e,sp,74.76398578501104
e,u,63.64373119021002
e,u:,65.3824746224441
e:,N,65.73586438021375
e:,a,68.9116902930724
e:,a:,72.51474522237869
e:,e,55.00348080280428
e:,e:,53.23618767510053
e:,i,60.6662451661609
e:,i:,61.81338913487118
e:,o,67.66339611160878
e:,o:,72.29228846779391
e:,q,76.20217158547693
e:,sp,73.36553328812145
e:,u,60.300317148151606
e:,u:,61.12374397262147
i,N,69.75346508754944
i,a,81.08104171443738
i,a:,89.18333426439106
i,e,67.01025616234932
i,e:,71.94495632962882
i,i,59.550593083489325
i,i:,65.05731269686767
i,o,76.43343964009823
i,o:,82.89211315321552
i,q,78.51780597635857
i,sp,80.54102318036219
i,u,68.57036591095049
i,u:,72.18130606496713
i:,N,69.06803964739741
i:,a,81.55077643519012
i:,a:,88.01377611954969
i:,e,64.67226291924173
i:,e:,65.45702514977417
i:,i,58.18414699849209
i:,i:,55.59829931323122
i:,o,76.69419169097496
i:,o:,80.516108343831
i:,q,78.72348811835235
i:,sp,81.12232328934981
i:,u,66.7332080223511
i:,u:,68.06011496723141
o,N,71.46194772925958
o,a,68.37000199374815
o,a:,69.41205458628023
o,e,76.45571509971838
o,e:,83.30618855639428
o,i,76.82664023974807
o,i:,84.50984013842945
o,o,59.87293777094749
o,o:,63.256648356903554
o,q,82.81693907504226
o,sp,79.92315889855222
o,u,66.85752323606403
o,u:,72.138149211818
o:,N,69.75072804263532
o:,a,69.16796709568956
o:,a:,68.98718534665413
o:,e,75.61719656602882
o:,e:,80.13673391112113
o:,i,75.70821908889563
o:,i:,81.01158318377439
o:,o,58.10226452744615
o:,o:,55.860231763422384
o:,q,83.59625774443164
o:,sp,81.84721282865745
o:,u,66.09766076758524
o:,u:,70.06415923467773
q,N,75.31622807253292
q,a,74.8524536368314
q,a:,86.4702435638904
q,e,79.24182732838752
q,e:,91.52768306016276
q,i,69.94316149117093
q,i:,84.80458919646925
q,o,77.74267233419681
q,o:,93.8800611860903
q,q,54.996884344483
q,sp,59.04764331136422
q,u,67.42045152947277
q,u:,83.22782507544497
sp,N,71.5238203945085
sp,a,68.74529165032891
sp,a:,76.10754093675969
sp,e,73.92838016917317
sp,e:,82.39245138026779
sp,i,69.11600489965134
sp,i:,79.32451336093581
sp,o,73.12277407902995
sp,o:,86.18105580698045
sp,q,58.724396431927914
sp,sp,54.51522295227894
sp,u,65.94166396091946
sp,u:,75.58680952339017
u,N,68.62863785724245
u,a,71.77673026524445
u,a:,77.24600293309169
u,e,69.20870549036526
u,e:,75.50187733585422
u,i,70.28142016770867
u,i:,76.58374064938754
u,o,68.65843573606999
u,o:,76.48997064546579
u,q,78.76714808015042
u,sp,77.50391116411457
u,u,60.78213790302953
u,u:,65.88397538526785
u:,N,63.32617774698881
u:,a,69.73124427217468
u:,a:,72.55211631421533
u:,e,64.71447832281102
u:,e:,66.90912177781013
u:,i,66.34432940903754
u:,i:,69.94104249759762
u:,o,67.33140726976181
u:,o:,73.49889929407156
u:,q,75.32833788814612
u:,sp,74.75530346076185
u:,u,58.03697175934111
u:,u:,54.83690176924517
